id,club,last_name,first_name,position,base_salary,guaranteed_compensation
1,CHI,Armas,Chris,M,225000,225000
2,CHI,Banner,Michael,M,12900,12900
3,CHI,Barrett,Chad,F,41212.5,48712.5
4,CHI,Blanco,Cuauhtemoc,F,2492316,2666778
5,CHI,Brown,C.J.,D,106391,106391
6,CHI,Busch,Jon,GK,58008,58008
7,CHI,Carr,Calen,F,38000,50500
8,CHI,Conde,Wilman,D,144000,151500
9,CHI,Correa,Thiago,M,44100,44100
10,CHI,Curtin,Jeff,D,12900,12900
11,CHI,Curtin,Jim,D,120750,120750
12,CHI,Franks,Floyd,M,17700,17700
13,CHI,Guerrero,Ivan,D-M,160000,187500
14,CHI,Gutierrez,Diego,M,126500,126500
15,CHI,Mapp,Justin,M,130000,136000
16,CHI,Marques,Bruno,M,12900,12900
17,CHI,Monteiro,Jerson,F,17700,17700
18,CHI,Noble,Nick,GK,12900,12900
19,CHI,Pause,Logan,M,69300,69300
20,CHI,Pickens,Matt,GK,32340,32340
21,CHI,Plotkin,Brian,M,30000,30000
22,CHI,Robinson,Dasan,D,42500,42500
23,CHI,Rolfe,Chris,F,70000,74700
24,CHI,Russolillo,Jordan,D,12900,12900
25,CHI,Segares,Gonzalo,D,48300,50800
26,CHI,Soumare,Bakary,D,45000,78000
27,CHI,Telesford,Osei,D,36000,36625
28,CHI,Wanchope,Paulo,F,240000,267500
29,CHI,Woolard,Daniel,D,12900,12900
30,CHV,Arvizu,David,F,33000,40500
31,CHV,Bornstein,Jonathan,D,57500,57500
32,CHV,Brooks,Desmond,D,12900,12900
33,CHV,Burling,Bobby,F-D,12900,12900
34,CHV,Burpo,Preston,GK,52491.6,52491.6
35,CHV,Cunliffe,John,F,30000,45000
36,CHV,Flores,Jorge,M,12900,13275
37,CHV,Galindo,Maykel,F,72500,72500
38,CHV,Guzan,Brad,GK,52237.5,67237.5
39,CHV,Hamilton,Anthony,F,17700,17700
40,CHV,Hernandez,Jason,D,45000,45625
41,CHV,Kljestan,Sacha,M,70000,103000
42,CHV,Llamosa,Carlos,D,84000,84000
43,CHV,Lopez,Rodrigo,M,17700,17700
44,CHV,Marsch,Jesse,M,100000,109375
45,CHV,Mendoza,Francisco,M,90000,93750
46,CHV,Merlin,Laurent,M,60000,60000
47,CHV,Myers,Justin,GK,12900,12900
48,CHV,Nagamura,Paulo,M,89250,89250
49,CHV,Nunez,Ramon,M,100000,118000
50,CHV,Perez,Orlando,D,70000,70000
51,CHV,Razov,Ante,F,245000,248750
52,CHV,Robles,Eder,D,12900,12900
53,CHV,Solorzano,Erasmo,M,12900,12900
54,CHV,Suarez,Claudio,D,146991.6,146991.6
55,CHV,Thomas,Shavar,D,70000,73750
56,CHV,Vaughn,Lawson,D,30000,30000
57,CHV,Zotinca,Alex,D,67500,68750
58,CLB,Evans,Brad,F,17700,17700
59,CLB,Garey,Jason,F,41250,53750
60,CLB,Gaudette,Bill,GK,30000,30000
61,CLB,Gaven,Eddie,M,165000,188000
62,CLB,Gonzalez,Marcos,D,156000,162250
63,CLB,Grabavoy,Ned,M,45050.25,52550.25
64,CLB,Gruenebaum,Andy,GK,17700,17700
65,CLB,Hejduk,Frankie,D,150000,175000
