id,club,last_name,first_name,position,base_salary,guaranteed_compensation
66,CLB,Hendrickson,Ezra,D-M,76650,77900
67,CLB,Herron,Andy,F,140000,148750
68,CLB,Hesmer,William,GK,30870,30870
69,CLB,Hunter,Ben,F,12900,12900
70,CLB,Junge,Ryan,D,12900,12900
71,CLB,Kamara,Kei,F,33000,43000
72,CLB,Marshall,Chad,D,100000,123000
73,CLB,Miglioranzi,Stefani,M,70008,86258
74,CLB,Moreno,Alejandro,F,120000,125000
75,CLB,Moss,Brandon,M,17700,17700
76,CLB,O'Rourke,Danny,M,46331.25,56331.25
77,CLB,Oughton,Duncan,D,72000,72000
78,CLB,Peterson,Andrew,M,12900,12900
79,CLB,Pierce,Rusty,D,63000,64300
80,CLB,Rogers,Robbie,F-M,50000,50000
81,CLB,Schelotto,Guillermo Barros,F,150000,150000
82,CLB,Szetela,Danny,M,43135.31,48760.31
83,CLB,Thomas,Jacob,M,84000,87750
84,CLB,Virtuoso,Ricardo,M,60000,102000
85,CLB,Ward,Tim,D,38456.25,48456.25
86,CLB,Zayner,Jed,D,33000,40500
87,COL,Ballouchy,Mehdi,M,70000,88000
88,COL,Cancela,Jose,M,156000,156000
89,COL,Casey,Conor,F,180000,180000
90,COL,Clark,Colin,F,17700,17700
91,COL,Colaluca,Nico,M,45000,78000
92,COL,Cooke,Terry,M,147500,152500
93,COL,Coundoul,Bouna,GK,30000,30000
94,COL,Cummings,Omar,F,30000,30000
95,COL,DiRaimondo,John,M,12900,12900
96,COL,Erpen,Facundo,D,115000,115000
97,COL,Gargan,Daniel,M,30000,30000
98,COL,Gomez,Hercules,F,49350,49350
99,COL,Harvey,Jordan,D,17700,17700
100,COL,Hernandez,Nicolas,F,130000,132400
101,COL,Hughes,Justin,GK,12900,12900
102,COL,Ihemelu,Ugo,D,55000,55000
103,COL,Keel,Stephen,D,17700,17700
104,COL,Kimura,Kosuke,M,12900,12900
105,COL,Kirovski,Jovan,F,200000,200000
106,COL,LaBrocca,Nick,M,12900,12900
107,COL,Mastroeni,Pablo,M-D,280000,298000
108,COL,Osorno,Daniel,F,138000,143000
109,COL,Peterson,Jacob,F,70000,88750
110,COL,Petke,Mike,D,126000,126000
111,COL,Prideaux,Brandon,D,76403,76403
112,COL,Sanneh,Tony,D,60000,60000
113,COL,Thornton,Zach,GK,57600,57600
114,COL,Wasson,Daniel,D,17700,17700
115,COL,Wilmes,Clifton,D,12900,12900
116,DAL,Alvarez,Arturo,M,32819,46019
117,DAL,Botero,Juan Sebastian,M,12900,12900
118,DAL,Burse,Ray,GK,17700,17700
119,DAL,Cooper,Kenny,F,80000,83000
120,DAL,Daniels,Andrew,D,12900,12900
121,DAL,De Oliveira,Denilson,M,872736,879936
122,DAL,Dello-Russo,Michael,D,12900,12900
123,DAL,Gbandi,Chris,D,100000,103750
124,DAL,Gbandi,Sandy,M,12900,12900
125,DAL,Goodson,Clarence,D,48378.75,53378.75
126,DAL,Hislop,Shaka,GK,220800,220800
127,DAL,Ibrahim,Abdus,F,50000,83000
128,DAL,Jones,Scott,M,12900,12900
129,DAL,McCarty,Dax,M,33000,45500
130,DAL,Mina,Roberto,F,80000,80000
131,DAL,Moor,Drew,D,53350,65850
132,DAL,Oduro,Dominic,F,30000,30000
133,DAL,Pereira,Ricardo,F,30000,30000
134,DAL,Pitchkolan,Aaron,M,17700,17700
135,DAL,Rhine,Bobby,D,60000,62500
136,DAL,Ricchetti,Pablo,M,120000,126625
137,DAL,Ruiz,Carlos,F,325000,435000
138,DAL,Sala,Dario,GK,110000,119875
139,DAL,Saragosa,Marcelo,M,67008,71883
140,DAL,Serioux,Adrian,D,108000,120500
141,DAL,Thompson,Abe,F,30000,30000
142,DAL,Toja,Juan Carlos,M,100008,100008
143,DAL,Wagenfuhr,David,D,30870,30870
144,DAL,Wagner,Blake,D,33000,45500
145,DAL,Wallace,Anthony,M,45000,78000
146,DAL,Yi,Alex,D,30870,30870
147,DC,Addlery,Nicholas,F,36000,36000
148,DC,Arguez,Bryan,M-D,45000,76200
149,DC,Boswell,Robert,D,30870,30870
150,DC,Burch,Marc,D,30000,30000
151,DC,Carreiro da Silva,Fred,M-F,190008,222008
152,DC,Carroll,Brian,M,115000,118750
153,DC,Carroll,Jeff,M-D,12900,12900
154,DC,Crowe,Shawn,GK,12900,12900
155,DC,DeRoux,Stephen,M,12900,12900
156,DC,Dyachenko,Rod,M,17700,17700
157,DC,Emilio,Luciano,F,265000,293125
158,DC,Gomez,Cristian,M,216000,218500
159,DC,Gros,Joshua,M,72500,75000
160,DC,Kpene,Guy,F,30000,30000
161,DC,McTavish,Devon,M,30000,30000
162,DC,Mediate,Stanton,M-F,30000,30000
163,DC,Moose,Justin,M,17700,17700
164,DC,Moreno,Jaime,F,250000,275000
165,DC,Mupier,Mira,F,12900,12900
166,DC,Namoff,Bryan,D,85000,88750
167,DC,Nolly,Jay,GK,36000,36000
168,DC,North,Brad,F,12900,12900
169,DC,Olsen,Ben,M,155000,177500
170,DC,Perkins,Troy,GK,85000,87500
171,DC,Simms,Clyde,M,52500,53750
172,DC,Vanney,Greg,D,216667,236667
173,DC,Walker,Jamil,M-F,30870,30870
174,HOU,Ashe,Corey,M,30000,30000
175,HOU,Barrett,Wade,D,141750,141750
176,HOU,Chabala,Mike,M,17700,17700
177,HOU,Ching,Brian,F,220000,220000
178,HOU,Clark,Ricardo,M,195000,195000
179,HOU,Cochrane,Ryan,D,51149,66149
180,HOU,Dalglish,Paul,F,96000,101000
181,HOU,Davis,Brad,M,120000,120000
182,HOU,DeRosario,Dwayne,M,324999.96,324999.96
183,HOU,Ebert,Eric,M,12900,12900
184,HOU,Hatzke,Nick,M,12900,12900
185,HOU,Hayden,John-Michael,M,17700,17700
186,HOU,Hoerner,Kenneth,M-F,12900,12900
187,HOU,Holden,Stuart,M,31500,31500
188,HOU,Ianni,Patrick,D,70000,103000
189,HOU,James,Jordan,GK,12900,12900
190,HOU,Jaqua,Nate,F,112500,119525
191,HOU,Moloi,Mpho,M,17700,17700
192,HOU,Mullan,Brian,M,125000,125000
193,HOU,Mulrooney,Richard,M,220000,233200
194,HOU,Ngwenya,Joseph,F,51148.13,62023.13
195,HOU,Onstad,Pat,GK,168000,168000
196,HOU,Robinson,Eddie,D,110000,110000
197,HOU,Ustruck,Erik,M,12900,12900
198,HOU,Waibel,Craig,D,85000,85000
199,HOU,Wells,Zachary,GK,50400,50400
200,HOU,Wondolowski,Chris,M,30000,30000
201,KC,Arnaud,Davy,M,100000,101875
202,KC,Burciaga,Jose,D,100000,102500
203,KC,Colombano,Eloy,F-M,42000,42000
204,KC,Conrad,Jimmy,D,194750,206000
205,KC,Elcock,Edson,M-F,17700,17700
206,KC,Garcia,Nick,D,131250,136250
207,KC,Godbolt,Aaron John,M,17700,17700
208,KC,Guadarrama,Willy,F,12900,12900
209,KC,Harrington,Michael,D,36000,53500
210,KC,Hartman,Kevin,GK,150000,150000
211,KC,Hohlbein,Aaron,M-D,30000,30000
212,KC,Jewsbury,Jack,M-F,50000,50000
213,KC,John,Will,M-F,33075,40575
214,KC,Johnson,Eddie,F,750000,875000
215,KC,Konopka,Chris,GK,12900,12900
216,KC,Kraus,Michael,M-F,12900,12900
217,KC,Kronberg,Eric,GK,30000,30000
218,KC,Lowery,Amir,M,12900,12900
219,KC,Marinelli,Carlos,M,165000,165000
220,KC,McMahen,Ryan,M,30000,30000
221,KC,Morsink,Kurt,M,30000,30000
222,KC,Movsisyan,Yura,F,35750,45750
223,KC,Pore,Ryan,F,44825,57325
224,KC,Raybould,Ryan,D-M,30000,30000
225,KC,Sealy,Scott,F,33075,33075
226,KC,Victorine,Sasha,M,137500,140000
227,KC,Wahl,Tyson,D,30000,30000
228,KC,Watson,Lance,M,17700,17700
229,KC,Zavagnin,Kerry,M,154000,154000
230,LA,Albright,Chris,M-D,142500,142500
231,LA,Beckham,David,M,5500000.08,6500000.04
232,LA,Buddle,Edson,F,140000,150000
233,LA,Cannon,Joe,GK,192000,192000
234,LA,Caso,Mike,M,12900,12900
235,LA,Cronin,Steve,GK,34728.75,42228.75
236,LA,Donovan,Landon,F,900000,900000
237,LA,Friesz,Lance,GK,12900,12900
238,LA,Glinton,Gavin,F,50000,50000
239,LA,Gordon,Alan,F,30870,30870
240,LA,Gray,Kelly,M-D,85000,85000
241,LA,Harden,Ty,D,30000,30000
242,LA,Harmse,Kevin,M,40800,40800
243,LA,Jazic,Ante,D-M,108000,114250
244,LA,Jones,Cobi,M,95000,95000
245,LA,Kirk,Quavas,F,75000,111500
246,LA,Klein,Chris,M,180000,187250
247,LA,Martino,Kyle,M,52500,55297.27
248,LA,Pavon,Carlos,F,132000,141500
249,LA,Randolph,Michael,D,17700,17700
250,LA,Roberts,Troy,D,30000,30000
251,LA,Sesay,Israel,F,45000,57083.33
252,LA,Tudela,Josh,M,17700,17700
253,LA,Vagenas,Peter,M,131250,131875
254,LA,Veris,Kyle,D,17700,17700
255,LA,Xavier,Abel,D,156000,156000
256,NE,Byrne,Bryan,M,30000,30000
257,NE,Cristman,Adam,F,17700,17700
258,NE,Dorman,Andy,M,30870,30870
259,NE,Flood,Gary,D,12900,12900
260,NE,Franchino,Joey,D,90000,90000
261,NE,Gonzalez,Miguel,M,12900,12900
262,NE,Heaps,Jay,D,110000,113750
263,NE,Helton,Kyle,D,12900,12900
264,NE,Igwe,Amaechi,F,45000,78000
265,NE,John,Avery,D,63000,63750
266,NE,Joseph,Shalrie,D,170625,180625
267,NE,Knighton,Brad,GK,12900,12900
268,NE,Larentowicz,Jeff,M,30000,30000
269,NE,Leonard,Marshall,M,47500,47500
270,NE,Loftus,Chris,F,12900,12900
271,NE,Noonan,Pat,F,225000,227500
272,NE,Oka,Arsene,M,12900,12900
273,NE,Parkhurst,Michael,D,80575,93075
274,NE,Ralston,Steve,M,150000,150000
275,NE,Reis,Matt,GK,150000,150000
276,NE,Riley,James,D-F,30870,30870
277,NE,Sims,Willie,F,35500,43000
278,NE,Smith,Khano,F,44100,44100
279,NE,Solle,Ryan,M,17700,17700
280,NE,Thompson,Wells,M,30000,30000
281,NE,Twellman,Taylor,F,325008,350008
282,NE,Warren,Doug,GK,50000,50000
283,NY,Altidore,Josmer,F,85000,108333
284,NY,Angel,Juan Pablo,F,1500000,1593750
285,NY,Caccavale,Salvatore,M,12900,12900
286,NY,Camp,Blake,M,12900,12900
287,NY,Cepero,Danny,GK,12900,12900
288,NY,Conway,Jon,GK,65000,65750
289,NY,Doe,Francis,F,48000,48000
290,NY,Freeman,Hunter,D-M,50600,60600
291,NY,Goldthwaite,Kevin,D,30870,30870
292,NY,Ikangu,Elie,M,17700,17700
293,NY,Karcz,Chris,M,12900,12900
294,NY,Kovalenko,Dema,M,190000,197375
295,NY,Laventure,Jerrod,F,12900,12900
296,NY,Leitch,Chris,D,43200,43200
297,NY,Magee,Mike,F,56206.25,57206.25
298,NY,Mathis,Clint,M-F,270000,410000
299,NY,Mendes,Carlos,D,62606.25,62606.25
300,NY,Parke,Jeff,D,47250,48500
301,NY,Patterson,Randi,F,12900,12900
302,NY,Quaranta,Santino,F,100000,105312.5
303,NY,Reyna,Claudio,M,1000008,1250008
304,NY,Richards,Dane,F-M,30000,30000
305,NY,Schopp,Markus,M,175000,175000
306,NY,Stammler,Seth,D,30870,30870
307,NY,Ubiparipovic,Sinisa,F-M,17700,17700
308,NY,Van Den Bergh,Dave,M,180000,214583.33
309,NY,Vide,Joe,M,17700,17700
310,NY,Waterreus,Ronald,GK,200000,200000
311,NY,Wolyniec,John,F,65625,65625
312,Pool,Monsalve,David,GK,30000,30000
313,Pool,Pardo,Boris,GK,17700,17700
314,Pool,Reynolds,Samuel,GK,17700,17700
315,Pool,Schoeni,Kenny,GK,17700,17700
316,RSL,Beckerman,Kyle,M,120000,122500
317,RSL,Besagno,Nikolas,M,75000,111500
318,RSL,Brown,Kyle,F,17700,17700
319,RSL,Brown,Chris,M-F,70000,70000
320,RSL,Curfman,Steven,M,12900,12900
321,RSL,Cutler,Kenny,M,30000,30000
322,RSL,Eskandarian,Alecko,F,155000,175500
323,RSL,Espindola,Edgar,F,72000,72000
324,RSL,Findley,Robert,F,36000,48500
325,RSL,Forko,Willis,D,30000,30000
326,RSL,Harris,Atiba,F,30000,30000
327,RSL,Hashimoto,Duke,F,17700,17700
328,RSL,Jimenez,Christian,M,33075,43075
329,RSL,Kipre,Jean-Martial,D,30000,30000
330,RSL,Kirby,Dustin,D,12900,12900
331,RSL,Kotschau,Ritchie,D,69300,70175
332,RSL,Lancos,Chris,D,17700,17700
333,RSL,Mantilla,Matias,D,48000,48000
334,RSL,Morales,Javier,M,120000,120000
335,RSL,Pope,Eddie,D,265000,265000
336,RSL,Reynish,Kyle,GK,17700,17700
337,RSL,Rimando,Nick,GK,64125,68468.75
338,RSL,Seitz,Chris,GK,55000,90500
339,RSL,Stewart,Jack,D,41081.25,48581.25
340,RSL,Sturgis,Nathan,M,70000,103000
341,RSL,Talley,Carey,D,118248,118248
342,RSL,Watson,Jamie,F,45100,50100
343,RSL,Williams,Andy,F,70008,70008
344,RSL,Wingert,Chris,D,54993.75,62493.75
345,TFC,Attakora-Gyan,Nana,D,12900,12900
346,TFC,Boyens,Andrew,D,30000,47500
347,TFC,Braz,Adam,D,67200,74950
348,TFC,Brennan,Jim,D,150000,158000
349,TFC,Canizalez,Maycoll,M,36000,40000
350,TFC,Cunningham,Jeffrey,F,220000,232500
351,TFC,Dichio,Daniel,F,150000,158125
352,TFC,Djekanovic,Srdjan,GK,17700,17700
353,TFC,Dunivant,Todd,D,99750,99750
354,TFC,Edu,Maurice,M,50000,132500
355,TFC,Gala,Gabriel,M,12900,12900
356,TFC,Guzman,David,M,12900,12900
357,TFC,Hemming,Tyler,M,17700,17700
358,TFC,Lombardo,Andrea,F,30000,30000
359,TFC,Lumley,Stephen,D,12900,12900
360,TFC,Marshall,Tyrone,D,142000,149500
361,TFC,Melo,Joey,M,12900,12900
362,TFC,Nunez,Cristian,M,17700,17700
363,TFC,O'Brien,Ronnie,M,240000,258750
364,TFC,Pozniak,Chris,D,90000,95000
365,TFC,Reda,Marco,D,100000,105000
366,TFC,Robinson,Carl,M,300000,315000
367,TFC,Samuel,Collin,F,90000,115000
368,TFC,Stamatopolus,Kenny,GK,30000,37500
369,TFC,Sutton,Greg,GK,125000,132562.5
370,TFC,Welsh,Andrew,M,195000,204750
371,TFC,Wynne,Marvell,D,47500,150000
