id,club,last_name,first_name,position,base_salary,guaranteed_compensation
276,CHV,Padilla,Jesus Andres,F,36000,36000
277,CLB,Padula,Gino,D,150000,175000
278,COL,Palguta,Scott,D,54999.96,54999.96
279,CHI,Pappa,Marco,M,42000,42000
280,KC,Pardo,Boris,GK,20100,20100
281,CHV,Parker,Lance,GK,20100,20100
282,LA,Patterson,Kyle,M,20100,20100
283,CHI,Pause,Logan,M,145000,153125
284,DAL,Pearce,Heath,D,48000,57500
285,COL,Peterson,Jacob,F,100000,118750
286,NY,Petke,Mike,D,80000.04,80000.04
287,NE,Phelan,Pat,M,34650,34650
288,COL,Pickens,Matt,GK,125000,127500
289,SJ,Pitchkolan,Aaron,D,50000,51250
290,DC,Pontius,Chris,M-F,36000,66000
291,CHI,Prideaux,Brandon,D,75600,75600
292,DAL,Purdy,Steven,D,40000,40000
293,DC,Quaranta,Santino,M-F,70000,72500
294,NE,Ralston,Steve,F-M,150000,150000
295,CHV,Razov,Ante,F,140000,147750
296,NE,Reis,Matt,GK,173343.75,173343.75
297,CLB,Renteria,Emilio,F,90000,91875
298,RSL,Reynish,Kyle,GK,34000,34000
299,SJ,Ribeiro,Antonio,M,51000,51000
300,DAL,Ricchetti,Pablo,M,145200,151825
301,NY,Richards,Dane,M-F,125000,136500
302,LA,Ricketts,Donovan,GK,150000,150000
303,SEA,Riley,James,D,69000,72625
304,RSL,Rimando,Nick,GK,105000,116000
305,SJ,Roberts,Jamil,D,20100,20100
306,CHI,Robinson,Dasan,D,46856.25,46856.25
307,HOU,Robinson,Eddie,D,137812.5,137812.5
308,TFC,Robinson,Carl,M,300000,315000
309,DAL,Rocha,Andre,M,140000,140000
310,CLB,Rogers,Robbie,M-F,92500,92500
311,NY,Rojas,Jorge,M,120000,130000
312,CHI,Rolfe,Chris,F,95550,100250
313,Pool,Rueckner,Bryant,GK,34000,34000
314,RSL,Russell,Robbie,D-M,97583.5,103334.93
315,DAL,Sala,Dario,GK,140000,158125
316,SJ,Salinas,Shea,M,36300,36300
317,SJ,Sanchez,Ramon,M,72000,82050
318,LA,Sanneh,Tony,D,84000,85250
319,CHV,Santos,Maicon,F,84000,84000
320,CHV,Saragosa,Marcelo,D-M,120000,124285.71
321,NY,Sassano,Luke,M-D,34000,34000
322,LA,Saunders,Josh,GK,41340,44473.75
323,TFC,Sayang,Amadou,D,34008,40563.55
324,CLB,Schelotto,Guillermo Barros,F-M,650000,775000
325,CLB,Schoeni,Kenny,GK,34000,34000
326,COL,Schunk,Ross,F,20100,20100
327,SEA,Scott,Zach,D,40008,40008
328,CHI,Segares,Gonzalo,D,61519.5,64019.5
329,RSL,Seitz,Chris,GK,75000,110500
330,TFC,Serioux,Adrian,D,119070,131570
331,LA,Sesay,Israel,F,70000,102083.33
332,Pool,Sharpe,Christopher,GK,34000,34000
333,DAL,Shea,Brek,M-D,70000,103000
334,DC,Shipalane,Tiyiselani,M,15300,16300
335,NE,Shuttleworth,Robert,GK,20100,20100
336,DC,Simms,Clyde,M,150000,156000
337,COL,Smith,Jamie,M,159600,169600
338,KC,Souter,Kevin,M,34000,34000
339,NY,Stammler,Seth,M,118000,118000
340,CHV,Stepanovic,Bojan,M,120000,121750
341,SEA,Sturgis,Nathan,M,100000,133000
342,CHV,Suarez,Claudio,D,75000,75000
343,DC,Szetela,Danny,M,90000,90000
344,CHV,Talley,Carey,D,128256,128256
345,CHV,Thomas,Shavar,D,104500,108250
346,NE,Thompson,Wells,M,34650,34650
347,HOU,Thompson,Abe,F,60000,63625
348,CHV,Thornton,Zach,GK,52500,55000
349,CHI,Thorrington,John,M,63000,64875
350,NE,Tierney,Chris,D-M,34000,34000
351,DAL,Torres,Daniel,D,100000,110000
352,CHV,Trujillo,Mariano,M,90000,90000
353,NE,Twellman,Taylor,F,395000,420000
354,NY,Ubiparipovic,Sinisa,M,34650,34650
355,HOU,Ustruck,Erik,F,20100,20100
356,SEA,Vagenas,Peter,M,158400,158400
357,LA,Valentin,Julian,D,36000,36000
358,COL,Valentino,Rob,D,39600,57100
